Title,Authors,Description,Category,Publisher,Publish Date,Price
Principles and Practice of Psychopharmacotherapy,"By Janicak, Philip G., Davis, John M., Preskorn, Sheldon H., M.D., and Ayd, Frank J., Jr.","A guide for residents, practitioners, and nurses in psychiatry and family practice; psychologists; social workers; and other mental health professionals involved with patients taking psychotropic medications. Summarizes the current understanding of the principles and practices of drug therapies integrated into the overall management of the mentally ill. Updated from the 1993 edition to include several new drugs and strategies that are more precisely targeted and cause fewer and milder adverse affects, and the rapid growth in the database that must be consulted and applied to specific cases. Annotation c. by Book News, Inc., Portland, Or."," Medical , Psychiatry , Psychopharmacology",Williams & Wilkins,"Wednesday, January 1, 1997",Price Starting at $7.43
Photography For Dummies (For Dummies (Computer/Tech)),"By Hart, Russell and Richards, Dan","Say ""cheese""! Taking great pictures is a snap when you follow the tips, tricks, and techniques packed inside Photography For Dummies, which takes you all the way from choosing the right film to using your computer to turn your photos into greeting cards or Web-ready online images.Whether you're taking photos for fun or profit, you'll find expert advice on all the angles -- from taking family pictures to action, sports, and travel shots -- alongside hundreds of color and black-and-white examples that show you how to make your good pictures great, and your great pictures even better.Geared for novice photographers armed with automated point-and-shoot cameras, Photography For Dummies takes you step-by-step through the entire photographic process, from choosing the right film and photo processing to using your camera's special features. And when you're ready to take the next step in photography with digital cameras, you'll find all sorts of helpful information right here, all explained in clear, easy-to-understand language."," Photography , Techniques , General",For Dummies,"Friday, May 1, 1998",Price Starting at $4.99
Opening Financial Markets: Banking Politics on the Pacific Rim (Cornell Studies in Political Economy),"By Pauly, Louis W.",," Business & Economics , General",Cornell Univ Pr,"Saturday, October 1, 1988",Price Starting at $5.29
Talking To Angels: A Life Spent in High Latitudes,"By Perkins, Robert","The author describes his year of treatment at a psychiatric institution, his frequent arctic journeys, and the extended illness and death of his wife"," Biography & Autobiography , General",Beacon Press,"Tuesday, April 1, 1997",Price Starting at $4.99
Aleksandr Solzhenitsyn: The Major Novels,"By Rothberg, Abraham",,,Cornell University Press,"Friday, January 1, 1971",Price Starting at $5.29
The Woman in the Body: A Cultural Analysis of Reproduction,"By Martin, Emily",," Social Science , Women's Studies",Beacon Pr,"Friday, January 1, 1999",Price Starting at $5.29
The Panama Canal Treaties Swindle: Consent to Disaster,"By Evans, G. Russell",,,Signal Books,"Wednesday, January 1, 1986",Price Starting at $6.12
Irritable Bowel Syndrome: A Natural Approach,"By Nicol, Rosemary","Offers advice on treating the symptoms of irritable bowel syndrome with alternative treatments, such as stress management, yoga, and herbal medicines."," Health & Fitness , Holism",Ulysses Press,"Monday, November 1, 1999",Price Starting at $5.29
"Labor of Love, Labor of Sorrow","By Jones, Jacqueline",An historical study of the roles of Black women examines the weight of racial prejudice and sexual discrimination on the dual responsibilities of Black women as bread winners and guardians of family and community stability," Social Science , Ethnic Studies , African American Studies",Vintage,"Tuesday, July 1, 1986",Price Starting at $4.99
Food and Wine's Holiday Favorites,By Food Wine Staff,," Cooking , Beverages , Alcoholic , Wine",American Express Publishing Company,"Thursday, August 1, 1996",Price Starting at $10.99
Name All the Animals: A Memoir,"By Smith, Alison","A luminous, poignant true story, Alison Smith's stunning first book, Name All the Animals, is an unparalleled account of grief and secret love: the tale of a family clinging to the memory of a lost child, and a young woman struggling to define herself in the wake of his loss.As children, siblings Alison and Roy Smith were so close that their mother called them by one name: Alroy. But on a cool summer morning when Alison was fifteen, she woke to learn that Roy, eighteen, was dead. This is Smith's extraordinary account of the impact of that loss -- on herself, on her parents, and on a deeply religious community.At home, Alison and her parents sleepwalk in shifts. Alison hoards food for her lost brother, hides in the backyard fort they built together, and waits for him to return. During the day, she breaks every rule at Our Lady of Mercy School for Girls, where the baffled but loving nuns offer prayer, Shakespeare, and a job running the switchboard. In the end, Alison finds her own way to survive: a startling and taboo first love that helps her discover a world beyond the death of her brother.An intimate book written in clear-eyed prose, Name All the Animals announces a brilliant new writer with a keen insight into the emotional life of the American family, the power of sibling love and loyalty, and the excruciating joy of first, forbidden love. Smith tells the story through her own fifteen-year-old eyes, with such expert pacing and narrative suspense that readers will find the book hard to put down.Heartbreaking but hopeful, this is ultimately a book less about loss than it is about love -- about the excitement and anguish of Alison's first love, about her parents' enduring romance, about a community's passion for its faith, and about a well-loved boy who dies too young. A fiercely beautiful, redemptive book, it is sure to be a classic."," Biography & Autobiography , Personal Memoirs",Scribner,"Thursday, January 1, 2004",Price Starting at $5.29
"Holiday Cooking (Great Taste, Low Fat)",By Time-Life Books (COR),"A collection of holiday recipes featuring dishes whose calories from fat are below thirty percent includes appetizers, entrees, side dishes, and desserts"," Cooking , Holiday",Time Life Education,"Sunday, January 1, 1995",Price Starting at $5.29
They both were naked,"By Wylie, Philip",,,Doubleday,"Friday, January 1, 1965",Price Starting at $5.88
Iron and Silk,"By Salzman, Mark",Salzman captures post-cultural revolution China through his adventures as a young American English teacher in China and his shifu-tudi (master-student) relationship with China's foremost martial arts teacher.," Travel , Asia , China",Vintage,"Tuesday, December 1, 1987",Price Starting at $4.99
Spirits in the Sky,"By Bowman, Martin",,,Smithmark Publishers,"Monday, November 1, 1993",Price Starting at $10.99
Teaching Off the Wall: Interactive Bulletin Boards That Teach With You,"By Prizzi, Elaine",,,Fearon Teacher AIDS,"Monday, June 1, 1981",Price Starting at $4.99
England's Constable: The life and letters of John Constable,"By Darracott, Joseph",,,Folio Society,"Tuesday, January 1, 1985",Price Starting at $11.88
The Heart of Boswell: Six Journals in One Volume,"By Harris, Mark and Boswell, James",Selections from journals by Samuel Johnson's famous biographer document Boswell's experiences from his arrival in London in 1762 to his work as a lawyer in 1774," Biography & Autobiography , General",McGraw-Hill,"Monday, June 1, 1981",Price Starting at $5.29
Stolen Season: A Journey Through America and Baseball's Minor Leagues,"By Lamb, David","An inside study of minor league baseball provides a portrait of the small cities and towns that house the teams and the colorful people--players, owners, coaches, and fans--who contribute to the baseball legend"," Sports & Recreation , Baseball , General",Random House,"Friday, March 1, 1991",Price Starting at $4.99
"Farewell, Miss Julie Logan,: A wintry tale,","By Barrie, J. M.",,,C. Scribner's sons,"Friday, January 1, 1932",Price Starting at $9.76
The American League: An Illustrated History,By Rh Value Publishing,,,Random House Value Publishing,"Saturday, June 1, 1985",Price Starting at $8.79
The London Ritz Book of Christmas: The Art & Pleasures of a Traditional Christmas,"By Reekie, Jennie","Collects more than fifty recipes, along with historical and literary descriptions of Christmas past by such authors as Charles Dickens, Thomas Hardy, and Sir Walter Scott"," Cooking , Reference",William Morrow & Co,"Monday, October 1, 1990",Price Starting at $5.29
"Deliver Us from Evil: Defeating Terrorism, Despotism, and Liberalism","By Hannity, Sean","Nearly three years have passed since that tragic day in September. Since then, our wounds have healed, but our senses and memories have dulled.At first, the nation rallied behind its leader. But by the time the confrontation with Iraq presented itself, our courage and moral certainty seemed to fade in the face of partisan bickering and posturing.Now the political left and the Democratic Party are trying to use the demanding aftermath of the war to exploit our national cause for their own political advantage.How could we allow ourselves to forget so soon?--from Deliver Us from EvilSean Hannity's first blockbuster book, the New York Times bestseller Let Freedom Ring, cemented his place as the freshest and most compelling conservative voice in the country. As the host of the phenomenally successful Hannity & Colmes on the Fox News Channel and The Sean Hannity Show on ABC Radio, Hannity has won a wildly devoted fan base. Now he brings his plainspoken, take-no-prisoners style to the continuing War on Terror abroad -- and liberalism at home -- in Deliver Us from Evil.""Evil exists,"" Hannity asserts. ""It is real, and it means to harm us."" And in these pages he revisits the harsh lessons America has learned in confronting evil in the past and the present, to illuminate the course we must take in the future. Tracing a direct line from Adolf Hitler and Joseph Stalin through Saddam Hussein and Osama bin Laden, he reminds us of the courage and moral clarity of our great leaders. And he reveals how the disgraceful history of appeasement has reached forward from the days of Neville Chamberlain and Jimmy Carter to corrupt the unrepentant leftists of the modern Democratic Party -- from Howard Dean and John Kerry to Bill and Hillary Clinton. As Americans face the ongoing war against terrorists and their state sponsors around the world, Sean Hannity reminds us that we must also cope with the continuing scourge of accommodation and cowardice at home. With his trademark blend of passion and hard-hitting commentary, he urges Americans to recognize the dangers of putting our faith in toothless ""multilateralism"" when the times call for decisive action. For only through strong defense of our freedoms, at home and around the world, can we preserve America's security and liberty in the dangerous twenty-first century."," Political Science , Terrorism",William Morrow,"Sunday, February 1, 2004",Price Starting at $4.99
Born Blue,"By Nolan, Han","Leshaya is a survivor. Rescued from the brink of death, this child of a heroin addict has seen it all: revolving foster homes, physical abuse, an unwanted pregnancy. Now, as her tumultuous childhood is coming to an end, she is determined to make a life for herself by doing the only thing that makes her feel whole . . . singing.Han Nolan pulls no punches in this hard-hitting story of a girl at the bottom who dreams of nothing but the top."," Young Adult Fiction , Social Themes , Emotions & Feelings",Clarion Books,"Thursday, May 1, 2003",Price Starting at $4.99
The King of Babylon Shall: Not Come Against You,"By Garrett, George","A reporter investigates a crime spree that shakes a small Florida town in the week Martin Luther King is assassinated. “There are few recent novels as thought-provoking, as witty, and as entertaining as this one” (Washington Post Book World). With an introduction by Madison Smartt Bell,written for this edition."," Fiction , Historical , General",Mariner Books,"Sunday, February 1, 1998",Price Starting at $5.29
Shades of Blue and Gray (Harvest Book),"By Hattaway, Herman","With its penetrating analyses and masterly synthesis of current scholarship, this “wonderfully clear and concise” book gives readers “the best brief military history of the Civil War available” (George Rable, author of The Confederate Republic and Civil Wars). Black-and-white photographs; maps."," History , United States , Civil War Period (1850-1877)",Mariner Books,"Wednesday, July 1, 1998",Price Starting at $5.29
The New York Public Library's Books of the Century,"By New York Public Library (COR), Diefendorf, Elizabeth (EDT), and Bryan, Diana (ILT)","What are the books that helped shape and define the last hundred years? This was the question put to the librarians of The New York Public Library as part of the Library's 100th anniversary celebration. Which books had influenced the course of events for good or ill? Which interpreted new worlds? Or delighted millions of readers? Their answers to these questions formed ""Books of the Century,"" a highly popular exhibit during the Library's centennial celebration (1895 to 1995), highlighting an exhilarating collection of important works by some of the greatest writers of our times.     Now, the companion volume, The New York Public Library's Books of the Century takes readers on a thought-provoking tour of the last hundred years, through the medium of the printed word. Here readers will find over 150 pivotal works organized into topical categories, reflecting themes that have informed the century, among them ""Mind & Spirit,"" ""Protest & Progress,"" ""Women Rise,"" or ""Nature's Realm."" Each is introduced with a brief commentary illuminating the themes and issues the books in that section address, followed by an annotation for each title offering a brief description and a key to its significance.  The range of books is remarkable, embracing Chekhov's Three Sisters and Bram Stoker's Dracula, as well as Galbraith's The Affluent Society and Durkheim's Suicide, or Timothy Leary's The Politics of Ecstasy and W.E.B. Du Bois's The Souls of Black Folk. Readers will find many illuminating juxtapositions. In ""Utopias & Dystopias,"" for instance, The Wonderful Wizard of Oz, Peter Pan, and Lost Horizon are in the unexpected company of Nineteen Eighty-four, A Clockwork Orange, Brave New World, and The Time Machine. The century's darkest moments are mirrored in ""War, Holocaust, Totalitarianism,"" where we find Koestler's Darkness at Noon, Hersey's Hiroshima, Anne Frank's Diary, and Dee Brown's Bury My Heart at Wounded Knee. But the volume ends on a happier note, with ""Optimism, Joy, Gentility,"" and such wonderful works as Helen Keller's The Story of My Life, Shaw's Pygmalion, Margaret Wise Brown's Goodnight Moon, and Harper Lee's To Kill a Mockingbird.      Illustrated throughout with imaginative paper cut-out murals by artist Diana Bryan, The New York Public Library's Books of the Century is a reflection of our times, featuring both the books we love--whether The Cat in the Hat or Ulysses--and books like The Surgeon General's Report or Mein Kampf that, for better or worse, have been an inescapable part of our century. ""For 100 years, the librarians of The New York Public Library have shared our passion for books with a diverse and literate public,"" said curator and editor Elizabeth Diefendorf. ""That experience has given us a unique perspective in making our choices for the books of the century. We hoped that visitors to the exhibition, and now the readers of this book, will be drawn into our choices and reflect on what their own selections would be."""," Reference , Bibliographies & Indexes",Oxford University Press,"Wednesday, October 1, 1997",Price Starting at $5.29
Study Guide Macroecon 2e,By ABEL,,,"Addison Wesley Longman (Higher Education Division, Pearson Education)","Tuesday, November 1, 1994",Price Starting at $11.82
The Romper Room book of shapes,"By Anastasio, Dina",,,Doubleday,"Tuesday, January 1, 1985",Price Starting at $6.69
Quiltmakers of Australia: Celebrating the Traditions,"By Fail, Karen","Quiltmaking is experiencing a worldwide revival. It is no longer simply a method for making bed covers, but an opportunity for creativity available to everyone. This book introduces you to some of the outstanding quiltmakers of Australia, and invites you to share their journeys of discovery. In this book, Karen Fail shares with you the experiences of these exponents of traditional quiltmaking in Australia."," Crafts & Hobbies , Quilts & Quilting",Quilt Digest,"Tuesday, October 1, 1996",Price Starting at $4.99
Letters to a Fiction Writer,"By Busch, Frederick (EDT)","Brilliant inspiration from some of our most renowned and respected fiction writers on the craft of writing and the writing life. ""Abandon the idea that you are ever going to finish . . . write just one page for each day. . . . Never correct or rewrite until the whole thing is down,"" instructs John Steinbeck. ""When your interest is engaged, i.e., in the sounds and smells of your city, you write admirably. But until these details become the envelope of a clear and legible emotion, ambition, or dilemma, the reader's interest, while respectful, will be to some extent merely polite,"" writes John Updike to Nicholas Delbanco. Andre Dubus reflects, ""I learned from Hemingway to stop each day's work in mid-sentence, while it is still going well, then to exercise the body, and not to think about the story till you go to your desk each day."" Tobias Wolff muscles a student who does not take his craft or talent seriously enough. Ray Bradbury encourages a young writer not to take the academic route. Rosellen Brown, Ann Beattie, and Joyce Carol Oates give the reader tactics for surviving the writing life. As Frederick Busch says in his introduction to this collection, ""this is a book of counsel and sustenance. . . . The readers of this book are about to receive the wisdom of those who know, from the inside of the process, what a writer might need, from time to time, to hear."""," Literary Collections , Letters",W W Norton & Co Inc,"Tuesday, June 1, 1999",Price Starting at $4.99
It Had to Be You: Sometimes You Just Know When He's the One...,"By Beck, Timothy James","A hilarious debut novel follows Daniel Stephenson, a Midwesterner-turned-Manhattanite who decides to cast his alter ego Princess 2Di4 aside and delve into a administrative assistant position, working for Blaine Dunhill, the sexy neighbor he has been ogling for quite some time. 25,000 first printing."," Fiction , LGBT , Gay",Kensington Pub Corp,"Monday, October 1, 2001",Price Starting at $5.47
The Herbal Palate Cookbook,"By Oster, Maggie and Gilbertie, Sal","Two of the best-known names in the herbal field teamed up to create this beautiful collection of 150 simple yet elegant recipes - everything from appetizers to entr,es to desserts."," Cooking , Specific Ingredients , Herbs, Spices, Condiments","Storey Publishing, LLC","Thursday, January 1, 1998",Price Starting at $5.47
Bart Simpson's Guide to Life: A Wee Handbook for the Perplexed,"By Groening, Matt","Starved for the whole truth, man?  Take a bite out of this bitsy but beefy package, brimming with morsels of wit, wisdom and worldly knowledge brought to you by the one and only Bartholomew J. Simpson. Get the hard–knocks facts of life from the guy who's seen it all, heard it all, done it all and denies it all.  (The ""J"" stands for ""Jo–Jo""...)"," Humor , General",Harper Design,"Friday, January 1, 1993",Price Starting at $5.20
Strange Fits of Passion: A Novel,"By Shreve, Anita","The reader is left to uncover the truth in this labryinth of a tale, a riveting story told within the framework of one reporter's notes and a woman's letters from prison.  Everyone believes that Maureen and Harrold English, two successful New York City journalists, have a happy, stable marriage. It's the early '70s and no one discusses or even suspects domestic abuse. But after Maureen suffers another brutal beating, she flees New York with her infant daughter and seeks refuge in a small coastal town in Maine. The weeks pass slowly, and just as Maureen begins to heal physically and emotionally, Harrold finds her, bringing the story to a violent, unforgettable end."," Fiction , General",Harvest Books,"Monday, November 1, 1999",Price Starting at $5.29
Substance Abuse Disorders in Clinical Practice (Norton Professional Books),"By Senay, Edward C.","An authoritative, up-to-date review of clinical issues in the diagnosis and management of substance abusers. Written for professionals working with substance abusers, this book is a comprehensive clinical primer on diagnosis and treatment. It describes history-taking, interpretation of toxicology results, principles of diagnosis, and a spectrum of treatment programs. Clinical advice, based on research and the author's extensive experience, is tailored to the managed care context and takes into account the reality that persons often abuse multiple substances."," Psychology , Psychopathology , Addiction",W W Norton & Co Inc,"Tuesday, September 1, 1998",Price Starting at $4.99
"Theorizing Feminism: Parallel Trends In The Humanities And Social Sciences [Aug 18, 1994] Stewart, Abby J","By Herrmann, Anne C. and Stewart, Abigail J. (EDT)","In the past two decades, feminist scholars have produced an abundance of theoretical writing in humanities and social science disciplines. The result is a body of work that is extraordinarily rich, hard to keep up with, and extremely difficult to teach.With the appearance of Theorizing Feminism: Parallel Trends in the Humanities and Social Sciences, the first genuinely interdisciplinary anthology of significant contributions to feminist theory, teachers will finally have a volume that does justice to their topic. Creatively edited, with insightful introductory material, this timely reader illuminates the historical development of feminist theory as well as the current state of the field.Emphasizing common themes and interests in the humanities and social sciences, the editors have chosen those topics that have been central to feminist theory in many disciplines, that remain relevant to current debates, and that reflect the interests of a diverse community of thinkers.The contributors include leading figures from psychology, literary criticism, sociology, philosophy, anthropology, art history, law, and economics. This is the ideal text for any advanced course on interdisciplinary feminist theory, one that fills a long-standing gap in feminist pedagogy."," Social Science , Gender Studies",Routledge,"Monday, August 1, 1994",Price Starting at $4.99
New Teachers Almanac: Practical Ideas for Every Day of the School Year,"By Newmann, Dana",," Education , General",Center for Applied Research in,"Sunday, June 1, 1980",Price Starting at $5.76
Tapestries in Sand: The Spirit of Indian Sandpainting,By VILLASENOR (David),," Social Science , Ethnic Studies , Native American Studies",Naturegraph Pub,"Wednesday, June 1, 1966",Price Starting at $5.29
"Grandmas, Old Maids, and Other Family Treasures","By Jeffrey, Harl LA Place",," Family & Relationships , Parenting , Grandparenting",Harl Jeffrey,"Wednesday, July 1, 1998",Price Starting at $8.21
Turning Life into Fiction,"By Hemley, Robin","With lively style, good humor and insight, Robin Hemley helps you turn all that you experience into fresh and powerful fiction.By learning to ""reimagine,"" you'll focus on translating real-world people and events into characters and scenes that happen on paper for the first time. You'll think ""what if"" instead of ""what is"" in order to take control of your material and cut loose the inhibitions of real life.In these pages, you'll learn how to hone your observation skills and fill your journal with rich and vivid details. (Because, as Hemley writes, ""Life is in the details, and so is good fiction."") You'll see how to decide which ideas to bring to fiction and which ones to let go. And you'll learn how to: find the right form - novel, short story, vignette, memoir - for the story you want to tell; use ""triggers"" to start your reader's imagination rolling; keep your fiction emotionally honest by making the right choices between ""the way it happened"" and what the story dictates (ask ""Is it believable?"", not ""Did it happen?""); create composites of real people and places that fit the unique needs of your story and empower your imagination; focus your fiction. Make sure everything, every character counts - and eliminate ""people who sit at the end of the bar without a role to play""; fictionalize - ethically and legally - other people's stories. Learn your rights as a writer versus their rights to privacy. (Can you use actual names? When do you need to get permission?)To illustrate how writers feed their fiction with reality, Hemley uses examples from his own work and from fiction masters of yesterday and today. At the end of each chapter, challenging exercises help you apply the basic theories and push them even further.An adventurous read, Turning Life Into Fiction will help you create fiction that's just as strange and wonderful and ""real"" as the life that inspires it."," Language Arts & Disciplines , General",Story Press,"Thursday, September 1, 1994",Price Starting at $5.29
Foundations of Epidemiology,"By Lilienfeld, A. M., Lilienfeld, D.","This introductory text gives an exceptionally clear and well organized account of epidemiologic concepts and methods, emphasizing the sequence of reasoning from different types of data that lead to inferences about the etiology or natural history of disease.",,Oxford University Press,"Sunday, June 1, 1980",Price Starting at $5.29
Dislocations: Stories (Norton Paperback Fiction),"By Hospital, Janette Turner","These moving and insightful stories help us to find our place in a world in which we have all become rootless travelers. Janette Turner Hospital's characters are exiles who share an intimate knowledge of dislocation: from their culture, from their native countries, from themselves. Her intimate stories capture the turning points in her characters’ lives from Indian lovers on a last romantic weekend before their arranged marriages to a daughter's welcome home after years of travel. Janette Turner Hospital is a wanderer herself. A native of Australia, she has lived in India, England, Canada, and the United States. She is the author of numerous novels, including Oyster, which is published by Norton and was shortlisted for Australia’s Miles Franklin and National Book Awards."," Fiction , General",W. W. Norton & Company,"Sunday, April 1, 1990",Price Starting at $5.29
River Journeys,"By Braddon, Russell (CON)","Six authors describe their experiences traveling on rivers in Zaire, Papua New Guinea, Indochina, Brazil, Australia, and Egypt",,Hippocrene Books,"Sunday, September 1, 1985",Price Starting at $4.99
Good Housekeeping Desserts From A to Z,By Good Housekeeping Institute,,,Good Housekeeping Books,"Monday, January 1, 1973",Price Starting at $6.36
Churches of the South Atlantic Islands: 1502-1991 (South Atlantic Library),"By Cannan, Edward",,,Anthony Nelson,"Wednesday, January 1, 1992",Price Starting at $5.37
The Ships,"By Quesada, Roberto and St. Martin, Hardie (TRN)","Nothing is more exciting than the appearance of a new writer on the scene, opening new vistas on to a previously untraveled terrain. Roberto Quesada, the youngest and freshest new voice from Latin America, has been hailed by Latin American critics as ""one of our most talented and original new writers"" (Ramon Luis Acevedo) and "":.. among the most important latin American writers"" (German Vargas).A novel of Central America, The Ships describes the occasional triumphs of daily life, usually in the form of silent laughter in a world of near poverty. It charts the progress of a young writer named Guillermo in the Honduran coastal town of La Ceiba. His nights alternate between falling deeply in love and loveless sexual escapades. His days are spent harvesting pineapples under a hot sun in the employ of the Standard Fruit Company. In the background there is a workers' strike at the plantation, a dance in La Ceiba, radio reports of the revolution going on in Nicaragua only a few hours' drive south, and the drone of American helicopters overhead. Quesada's world is topsy-turvy only in the sense that here human values of love and friendship dwarf the ostensibly much-larger corporate, military, and geopolitical issues."," Fiction , General",Four Walls Eight Windows,"Tuesday, September 1, 1992",Price Starting at $5.00
Short Fiction by Hispanic Writers of the United States (Pitt Series in Policy and),"By Kanellos, Nicolas (EDT)",A collection of short stories by well-know Hispanic American authors," Literary Criticism , European , Spanish & Portuguese",Arte Publico Pr,"Friday, January 1, 1993",Price Starting at $4.99
Whose Bright Idea Was That?: Great Firsts of World History,"By Richardson, Matthew",," Reference , Trivia",Kodansha Amer Inc,"Sunday, November 1, 1998",Price Starting at $5.29
Adventuring in the Chesapeake Bay Area (Sierra Club Adventure Travel Guides),"By Bowen, John","With scores of rivers, coves, picturesque fishing villages, and small boat harbors, and with hundreds of miles of canoeable rivers, the Chesapeake Bay Area is one of America's favorite vacation destinations. This revised edition of Adventuring in the Chesapeake Bay Area covers every major town between Havre de Grace and Virginia Beach, including Baltimore, Annapolis, and Washington, D.C. Author John Bowen covers a wide variety of outdoor activities, touring excursions, and places to stay. A list of landmarks, illustrated maps, and fascinating historical facts round out this essential guide.Indispensable for residents and visitors alike, Adventuring in the Chesapeake Bay Area blends the rich cultural heritage of the region with its myriad opportunities for outdoor adventure."," Travel , United States , Northeast , Middle Atlantic (NJ, NY, PA)",Sierra Club Books,"Sunday, August 1, 1999",Price Starting at $5.37
Everything Romance Book (Everything Series),"By Baack, Donald and Baack, Pamela","From romantic getaways to sensual sounds, this book provides an array of tips for keeping romance alive in a relationship from the first date through the ""empty nest"" period. Original."," Family & Relationships , Love & Romance",Everything,"Thursday, November 1, 2001",Price Starting at $4.99
"The Soul of the New Consumer : The Attitudes, Behavior, and Preferences of E-Customers","By Windham, Laurie and Orton, Ken",," Business & Economics , Consumer Behavior",Allworth Pr,"Friday, September 1, 2000",Price Starting at $5.53
From Abfab To Zen,"By Waters, John, Hastreiter, Kim (EDT), and Hershkovits, David (EDT)","Collects different images and icons, from Bill Gates to nose rings, to create an overview of popular culture in the late twentieth century"," Photography , Subjects & Themes , Fashion",D.A.P./Paper Magazine,"Wednesday, September 1, 1999",Price Starting at $10.99
The New Rules of Money: 88 Strategies for Financial Success Today,"By Edelman, Ric","The author of The Truth About Money, a number-one best-seller, offers readers cutting-edge advice on managing every aspect of their finances in tough economic times, from paying for college to planning for retirement. $50,000 ad/promo."," Business & Economics , Personal Finance , General",HarperCollins,"Thursday, January 1, 1998",Price Starting at $19.96
Seamless Government: A Practical Guide to Re-Engineering in the Public Sector,"By Linden, Russell M.","Shows government agencies how to meet the needs of customers seamlessly, that is, in a smooth, effortless, responsive manner. Details a step-by-step approach to assess, design and implement significant change in all levels of government?and how to overcome resistance along the way."," Political Science , Public Affairs & Administration",Jossey-Bass,"Thursday, September 1, 1994",Price Starting at $5.29
Roy Rogers and the Raiders of Sawtooth Ridge an Orig,"By Miller, Snowden",,,Whitman Publishing,"Tuesday, January 1, 1946",Price Starting at $27.83
Talkin' About My G-G-Generation (A Doonesbury Book),"By Trudeau, G. B.","This collection of Doonesbury comic strips features the antics of Ron Headrest--Ronald Reagan's alter ego--Hollywood channeler Boopsie's tour, Rick and Joonie's search for good day care, and the clandestine return of William Casey",,Henry Holt & Co,"Friday, April 1, 1988",Price Starting at $5.29
Magazine Writing That Sells,"By McKinney, Don","You're about to embark on an article-writing adventure.In this book, Don McKinney - editor, freelance writer, instructor - helps you work toward a higher quality of writing, to better your chances of placing articles with a higher quality of magazine.You'll begin with the idea. Article ideas are everywhere - but often buried, like mountains under molehills. McKinney helps you unearth yours and advises you in matching it to a magazine. And he shows you how to sell your article - before writing it - by creating a query letter sure to catch an editor by the imagination and intellect.Once you've got the nod, you'll talk to people and dig up information. Keeping the interview on track; the tape-or-notebook question; probing sensitive areas - McKinney helps you make these conversations count. He also ushers you into the library and to reference publications that will put you on the trail to facts you need. And he gives you an overview of computer databases and what's available on-line and on CD-ROM. Talk about saving time.And then, ready with the fruits of your research, armed with supporting comments, it's time to write. This book helps you by taking you into the very core of good wordsmithing. You'll learn about:Leads - the four basic functions your opening should serve, and four general categories of effective leads. You'll see how to grab your reader and yank him into your story. And how others, including E.B. White, Dave Barry and Frank DeFord, have done that.Endings - how to close your piece so that it rings in the reader's mind. You'll analyze ten types of finishes that McKinney identifies. Listen to the resonance in the samples of work by Shana Alexander, Saul Pett, John McPhee, Rex Reed and others.Structure - how to pound and knead and shape the agglomeration of information you've collected into a well-told tale. You'll learn about four types of article structure. And you'll see how, once you've got your story's elements in their proper places, to snug them up with transitions that make the reading smooth.Sparkle - that certain something that makes your writing stand out. Explore it, learn its ingredients through McKinney's narrative; watch it at work in the examples by W.C. ""Bill"" Heinz and Joan Didion and others. You'll see what separates average writing from good writing. This book will help you grasp it.In fact, this book will help you find your writing way in many ways, large and small.One of the larger ways is through a chapter devoted to helping you write the ever popular human-interest piece. You'll find out what kinds of articles editors seek - and why, if you meet someone with a true-drama tale, you should get the story and speed your query.Another chapter puts you onto, in McKinney's words, ""articles that anyone can write."" You may have a wealth of material suitable for major magazines, right now, awaiting only your concentration and your fingers on the keys.Throughout this book, you'll find great writing examples. And in the back are profiles of accomplished magazine writers, including Maxine Rock, Barbara Raymond and Bil Gilbert; you'll gain a wealth of instruction through these essays. Following them, top editors - including Janet Chan of Redbook and Timothy Foote of Smithsonian - tell you what they want from writers.What do you want from yourself as a writer? To create solid, evocative articles? To place them in leading magazines? Of course you do."," Business & Economics , Sales & Selling , General",Writer's Digest Books,"Friday, July 1, 1994",Price Starting at $4.99
Henry Adams and the American Experiment,"By Contosta, David",,,Little Brown,"Wednesday, October 1, 1980",Price Starting at $4.99
Understanding Men's Passages: Discovering the New Map of Men's Lives,"By Sheehy, Gail","Addressing men older than thirty-five, the author of the best-selling The Silent Passage draws on frank interviews with hundreds of men to devise an informed and inspiring guide to self-renewal in life's second half. 300,000 first printing. Tour."," Psychology , General",Random House,"Friday, May 1, 1998",Price Starting at $8.29
Vehicles,"By Hawkes, Nigel","Charts the origins, design, and life stories of fifty vehicles of land, sea, air, and space, from Columbus' ships to Chuck Yeager's airplane",,Maxwell Macmillan International,"Tuesday, January 1, 1991",Price Starting at $7.35
Mapping the Next Millennium: How Computer-Driven Cartography Is Revolutionizing the Face of Science,"By Hall, Stephen S.","Discusses the use of innovative new techniques to map diverse areas of the universe, from the mathmatical constant pi, to human chromosomes, to the ocean floor"," Science , General",Vintage,"Monday, March 1, 1993",Price Starting at $4.99
